,city,state,city_size,mode,n,percent,moe,state_abb,state_region
871,Mount Vernon city,Washington,Small,Bike,70,0.5,0.5,WA,West
872,Mountain Brook city,Alabama,Small,Bike,35,0.4,0.4,AL,South
873,Mountain View city,California,Small,Bike,1707,4.2,0.8,CA,West
874,Mountlake Terrace city,Washington,Small,Bike,41,0.4,0.3,WA,West
875,Mukilteo city,Washington,Small,Bike,31,0.3,0.3,WA,West
876,Muncie city,Indiana,Small,Bike,452,1.6,0.5,IN,North Central
877,Mundelein village,Illinois,Small,Bike,29,0.2,0.2,IL,North Central
878,Munster town,Indiana,Small,Bike,14,0.1,0.2,IN,North Central
879,Murray city,Utah,Small,Bike,127,0.5,0.3,UT,West
880,Murrysville municipality,Pennsylvania,Small,Bike,23,0.2,0.3,PA,Northeast
881,Muscatine city,Iowa,Small,Bike,9,0.1,0.1,IA,North Central
882,Muskego city,Wisconsin,Small,Bike,0,0.0,0.2,WI,North Central
883,Muskegon city,Michigan,Small,Bike,63,0.5,0.4,MI,North Central
884,Muskogee city,Oklahoma,Small,Bike,5,0.0,0.1,OK,South
885,Myrtle Beach city,South Carolina,Small,Bike,189,1.5,0.9,SC,South
886,Nacogdoches city,Texas,Small,Bike,108,0.8,0.6,TX,South
887,Nampa city,Idaho,Small,Bike,88,0.3,0.2,ID,West
888,Napa city,California,Small,Bike,320,0.9,0.5,CA,West
889,Naples city,Florida,Small,Bike,121,2.0,1.2,FL,South
890,Nashua city,New Hampshire,Small,Bike,71,0.2,0.2,NH,Northeast
891,National City city,California,Small,Bike,161,0.6,0.4,CA,West
892,Naugatuck borough,Connecticut,Small,Bike,0,0.0,0.2,CT,Northeast
893,Neenah city,Wisconsin,Small,Bike,73,0.6,0.4,WI,North Central
894,New Albany city,Indiana,Small,Bike,29,0.2,0.2,IN,North Central
895,New Bedford city,Massachusetts,Small,Bike,119,0.3,0.2,MA,Northeast
896,New Berlin city,Wisconsin,Small,Bike,70,0.3,0.3,WI,North Central
897,New Bern city,North Carolina,Small,Bike,18,0.2,0.2,NC,South
898,New Braunfels city,Texas,Small,Bike,56,0.2,0.2,TX,South
899,New Brighton city,Minnesota,Small,Bike,36,0.3,0.3,MN,North Central
900,New Britain city,Connecticut,Small,Bike,54,0.2,0.2,CT,Northeast
901,New Brunswick city,New Jersey,Small,Bike,240,1.0,0.4,NJ,Northeast
902,New Castle city,Pennsylvania,Small,Bike,68,0.8,0.9,PA,Northeast
903,New Hope city,Minnesota,Small,Bike,61,0.6,0.4,MN,North Central
904,New Iberia city,Louisiana,Small,Bike,48,0.4,0.4,LA,South
905,New Lenox village,Illinois,Small,Bike,12,0.1,0.2,IL,North Central
906,New London city,Connecticut,Small,Bike,16,0.1,0.1,CT,Northeast
907,New Rochelle city,New York,Small,Bike,30,0.1,0.1,NY,Northeast
908,New Smyrna Beach city,Florida,Small,Bike,44,0.5,0.5,FL,South
909,Newark city,California,Small,Bike,79,0.4,0.3,CA,West
910,Newark city,Delaware,Small,Bike,328,2.4,0.7,DE,South
911,Newark city,Ohio,Small,Bike,134,0.6,0.4,OH,North Central
912,Newberg city,Oregon,Small,Bike,173,1.6,1.0,OR,West
913,Newburgh city,New York,Small,Bike,67,0.6,0.7,NY,Northeast
914,Newnan city,Georgia,Small,Bike,16,0.1,0.2,GA,South
915,Newport Beach city,California,Small,Bike,378,0.9,0.4,CA,West
916,Newport city,Rhode Island,Small,Bike,333,2.4,1.1,RI,Northeast
917,Newton city,Massachusetts,Small,Bike,470,1.1,0.3,MA,Northeast
918,Niagara Falls city,New York,Small,Bike,72,0.3,0.2,NY,Northeast
919,Nicholasville city,Kentucky,Small,Bike,0,0.0,0.3,KY,South
920,Niles village,Illinois,Small,Bike,116,0.9,0.8,IL,North Central
921,Noblesville city,Indiana,Small,Bike,26,0.1,0.1,IN,North Central
922,Nogales city,Arizona,Small,Bike,8,0.1,0.2,AZ,West
923,Norco city,California,Small,Bike,14,0.1,0.2,CA,West
924,Norfolk city,Nebraska,Small,Bike,55,0.5,0.4,NE,North Central
925,Normal town,Illinois,Small,Bike,317,1.2,0.4,IL,North Central
926,Norristown borough,Pennsylvania,Small,Bike,182,1.1,0.8,PA,Northeast
927,North Augusta city,South Carolina,Small,Bike,24,0.3,0.3,SC,South
928,North Chicago city,Illinois,Small,Bike,9,0.1,0.1,IL,North Central
929,North Lauderdale city,Florida,Small,Bike,98,0.5,0.5,FL,South
930,North Little Rock city,Arkansas,Small,Bike,38,0.1,0.2,AR,South
931,North Miami Beach city,Florida,Small,Bike,103,0.5,0.4,FL,South
932,North Miami city,Florida,Small,Bike,0,0.0,0.2,FL,South
933,North Olmsted city,Ohio,Small,Bike,20,0.1,0.1,OH,North Central
934,North Plainfield borough,New Jersey,Small,Bike,136,1.1,0.9,NJ,Northeast
935,North Platte city,Nebraska,Small,Bike,37,0.3,0.3,NE,North Central
936,North Port city,Florida,Small,Bike,139,0.6,0.2,FL,South
937,North Richland Hills city,Texas,Small,Bike,42,0.1,0.1,TX,South
938,North Ridgeville city,Ohio,Small,Bike,17,0.1,0.2,OH,North Central
939,North Royalton city,Ohio,Small,Bike,42,0.3,0.2,OH,North Central
940,North Tonawanda city,New York,Small,Bike,28,0.2,0.2,NY,Northeast
941,Northampton city,Massachusetts,Small,Bike,473,3.1,0.9,MA,Northeast
942,Northbrook village,Illinois,Small,Bike,27,0.2,0.2,IL,North Central
943,Northfield city,Minnesota,Small,Bike,212,1.9,0.7,MN,North Central
944,Northglenn city,Colorado,Small,Bike,48,0.3,0.3,CO,West
945,Northport city,Alabama,Small,Bike,6,0.1,0.1,AL,South
946,Norton Shores city,Michigan,Small,Bike,62,0.6,0.5,MI,North Central
947,Norwalk city,Connecticut,Small,Bike,81,0.2,0.1,CT,Northeast
948,Norwich city,Connecticut,Small,Bike,6,0.0,0.1,CT,Northeast
949,Novato city,California,Small,Bike,133,0.5,0.4,CA,West
950,Novi city,Michigan,Small,Bike,100,0.4,0.3,MI,North Central
951,Oak Creek city,Wisconsin,Small,Bike,12,0.1,0.1,WI,North Central
952,Oak Forest city,Illinois,Small,Bike,0,0.0,0.2,IL,North Central
953,Oak Harbor city,Washington,Small,Bike,12,0.1,0.2,WA,West
954,Oak Lawn village,Illinois,Small,Bike,37,0.1,0.1,IL,North Central
955,Oak Park city,Michigan,Small,Bike,47,0.4,0.4,MI,North Central
956,Oak Park village,Illinois,Small,Bike,462,1.7,0.6,IL,North Central
957,Oak Ridge city,Tennessee,Small,Bike,13,0.1,0.1,TN,South
958,Oakdale city,California,Small,Bike,81,1.0,0.7,CA,West
959,Oakdale city,Minnesota,Small,Bike,43,0.3,0.2,MN,North Central
960,Oakland Park city,Florida,Small,Bike,166,0.8,0.5,FL,South
961,Oakley city,California,Small,Bike,90,0.6,0.4,CA,West
962,Ocala city,Florida,Small,Bike,210,1.0,0.5,FL,South
963,Ocoee city,Florida,Small,Bike,0,0.0,0.2,FL,South
964,O'Fallon city,Illinois,Small,Bike,20,0.1,0.2,IL,North Central
965,O'Fallon city,Missouri,Small,Bike,41,0.1,0.1,MO,North Central
966,Ogden city,Utah,Small,Bike,223,0.6,0.3,UT,West
967,Olive Branch city,Mississippi,Small,Bike,0,0.0,0.2,MS,South
968,Olympia city,Washington,Small,Bike,950,4.1,1.2,WA,West
969,Opelika city,Alabama,Small,Bike,24,0.2,0.1,AL,South
970,Oregon City city,Oregon,Small,Bike,52,0.4,0.3,OR,West
971,Oregon city,Ohio,Small,Bike,0,0.0,0.3,OH,North Central
972,Orem city,Utah,Small,Bike,539,1.3,0.4,UT,West
973,Orland Park village,Illinois,Small,Bike,42,0.2,0.1,IL,North Central
974,Ormond Beach city,Florida,Small,Bike,161,1.0,0.5,FL,South
975,Oro Valley town,Arizona,Small,Bike,62,0.4,0.3,AZ,West
976,Oshkosh city,Wisconsin,Small,Bike,380,1.2,0.5,WI,North Central
977,Ossining village,New York,Small,Bike,7,0.1,0.1,NY,Northeast
978,Oswego village,Illinois,Small,Bike,13,0.1,0.1,IL,North Central
979,Ottumwa city,Iowa,Small,Bike,75,0.7,0.6,IA,North Central
980,Oviedo city,Florida,Small,Bike,39,0.2,0.3,FL,South
981,Owasso city,Oklahoma,Small,Bike,43,0.3,0.3,OK,South
982,Owatonna city,Minnesota,Small,Bike,90,0.7,0.5,MN,North Central
983,Owensboro city,Kentucky,Small,Bike,144,0.6,0.3,KY,South
984,Oxford city,Alabama,Small,Bike,4,0.0,0.1,AL,South
985,Oxford city,Mississippi,Small,Bike,108,1.3,1.0,MS,South
986,Oxford city,Ohio,Small,Bike,158,1.8,1.0,OH,North Central
987,Pacifica city,California,Small,Bike,22,0.1,0.1,CA,West
988,Paducah city,Kentucky,Small,Bike,41,0.4,0.4,KY,South
989,Palatine village,Illinois,Small,Bike,124,0.3,0.3,IL,North Central
990,Palm Beach Gardens city,Florida,Small,Bike,68,0.3,0.2,FL,South
991,Palm Coast city,Florida,Small,Bike,57,0.2,0.2,FL,South
992,Palm Desert city,California,Small,Bike,105,0.6,0.4,CA,West
993,Palm Springs city,California,Small,Bike,179,0.9,0.5,CA,West
994,Palm Springs village,Florida,Small,Bike,8,0.1,0.1,FL,South
995,Palmetto Bay village,Florida,Small,Bike,32,0.3,0.3,FL,South
996,Palo Alto city,California,Small,Bike,2562,8.5,1.1,CA,West
997,Panama City city,Florida,Small,Bike,213,1.3,0.8,FL,South
998,Papillion city,Nebraska,Small,Bike,14,0.1,0.2,NE,North Central
999,Paradise town,California,Small,Bike,92,1.0,1.0,CA,West
1000,Paragould city,Arkansas,Small,Bike,0,0.0,0.3,AR,South
1001,Paramount city,California,Small,Bike,173,0.8,0.4,CA,West
1002,Paramus borough,New Jersey,Small,Bike,0,0.0,0.3,NJ,Northeast
1003,Paris city,Texas,Small,Bike,79,0.8,0.7,TX,South
1004,Park Forest village,Illinois,Small,Bike,23,0.2,0.3,IL,North Central
1005,Park Ridge city,Illinois,Small,Bike,30,0.2,0.2,IL,North Central
1006,Parker town,Colorado,Small,Bike,40,0.2,0.2,CO,West
1007,Parkersburg city,West Virginia,Small,Bike,59,0.5,0.4,WV,South
1008,Parkland city,Florida,Small,Bike,0,0.0,0.4,FL,South
1009,Parma city,Ohio,Small,Bike,0,0.0,0.1,OH,North Central
1010,Parma Heights city,Ohio,Small,Bike,10,0.1,0.2,OH,North Central
1011,Pascagoula city,Mississippi,Small,Bike,47,0.5,0.5,MS,South
1012,Pasco city,Washington,Small,Bike,0,0.0,0.1,WA,West
1013,Passaic city,New Jersey,Small,Bike,234,0.9,0.6,NJ,Northeast
1014,Patterson city,California,Small,Bike,98,1.3,1.2,CA,West
1015,Pawtucket city,Rhode Island,Small,Bike,208,0.6,0.3,RI,Northeast
1016,Peabody city,Massachusetts,Small,Bike,71,0.3,0.2,MA,Northeast
1017,Peachtree City city,Georgia,Small,Bike,41,0.3,0.3,GA,South
1018,Pearl city,Mississippi,Small,Bike,12,0.1,0.2,MS,South
1019,Pearland city,Texas,Small,Bike,0,0.0,0.1,TX,South
1020,Peekskill city,New York,Small,Bike,31,0.3,0.4,NY,Northeast
1021,Pekin city,Illinois,Small,Bike,54,0.4,0.3,IL,North Central
1022,Pelham city,Alabama,Small,Bike,0,0.0,0.3,AL,South
1023,Pensacola city,Florida,Small,Bike,227,0.9,0.5,FL,South
1024,Perris city,California,Small,Bike,20,0.1,0.1,CA,West
1025,Perrysburg city,Ohio,Small,Bike,8,0.1,0.1,OH,North Central
1026,Perth Amboy city,New Jersey,Small,Bike,33,0.2,0.2,NJ,Northeast
1027,Petaluma city,California,Small,Bike,437,1.5,0.5,CA,West
1028,Petersburg city,Virginia,Small,Bike,32,0.3,0.3,VA,South
1029,Pflugerville city,Texas,Small,Bike,40,0.2,0.3,TX,South
1030,Pharr city,Texas,Small,Bike,35,0.2,0.2,TX,South
1031,Phenix City city,Alabama,Small,Bike,54,0.4,0.4,AL,South
1032,Pico Rivera city,California,Small,Bike,255,1.0,0.4,CA,West
1033,Pine Bluff city,Arkansas,Small,Bike,28,0.2,0.1,AR,South
1034,Pinellas Park city,Florida,Small,Bike,165,0.8,0.5,FL,South
1035,Piqua city,Ohio,Small,Bike,27,0.3,0.3,OH,North Central
1036,Pittsburg city,California,Small,Bike,52,0.2,0.2,CA,West
1037,Pittsburg city,Kansas,Small,Bike,133,1.5,0.7,KS,North Central
1038,Pittsfield city,Massachusetts,Small,Bike,185,0.9,0.4,MA,Northeast
1039,Placentia city,California,Small,Bike,274,1.2,0.5,CA,West
1040,Plainfield city,New Jersey,Small,Bike,288,1.1,0.5,NJ,Northeast
1041,Plainfield town,Indiana,Small,Bike,9,0.1,0.1,IN,North Central
1042,Plainfield village,Illinois,Small,Bike,0,0.0,0.2,IL,North Central
1043,Plainview city,Texas,Small,Bike,14,0.2,0.2,TX,South
1044,Plant City city,Florida,Small,Bike,112,0.7,0.4,FL,South
1045,Plantation city,Florida,Small,Bike,65,0.1,0.1,FL,South
1046,Pleasant Grove city,Utah,Small,Bike,22,0.2,0.2,UT,West
1047,Pleasant Hill city,California,Small,Bike,119,0.7,0.5,CA,West
1048,Pleasant Prairie village,Wisconsin,Small,Bike,0,0.0,0.2,WI,North Central
1049,Pleasanton city,California,Small,Bike,277,0.8,0.4,CA,West
1050,Pleasantville city,New Jersey,Small,Bike,18,0.2,0.3,NJ,Northeast
1051,Plum borough,Pennsylvania,Small,Bike,0,0.0,0.2,PA,Northeast
1052,Plymouth city,Minnesota,Small,Bike,197,0.5,0.3,MN,North Central
1053,Pocatello city,Idaho,Small,Bike,362,1.4,0.5,ID,West
1054,Ponca City city,Oklahoma,Small,Bike,6,0.1,0.1,OK,South
1055,Pontiac city,Michigan,Small,Bike,31,0.1,0.2,MI,North Central
1056,Pooler city,Georgia,Small,Bike,47,0.5,0.6,GA,South
1057,Port Arthur city,Texas,Small,Bike,126,0.6,0.4,TX,South
1058,Port Chester village,New York,Small,Bike,53,0.3,0.4,NY,Northeast
1059,Port Hueneme city,California,Small,Bike,112,1.2,0.9,CA,West
1060,Port Huron city,Michigan,Small,Bike,218,1.9,1.1,MI,North Central
1061,Port Orange city,Florida,Small,Bike,67,0.3,0.3,FL,South
1062,Portage city,Indiana,Small,Bike,27,0.2,0.3,IN,North Central
1063,Portage city,Michigan,Small,Bike,37,0.2,0.1,MI,North Central
1064,Porterville city,California,Small,Bike,231,1.2,0.7,CA,West
1065,Portland city,Maine,Small,Bike,660,1.8,0.6,ME,Northeast
1066,Portsmouth city,New Hampshire,Small,Bike,199,1.6,0.9,NH,Northeast
1067,Portsmouth city,Ohio,Small,Bike,21,0.3,0.4,OH,North Central
1068,Portsmouth city,Virginia,Small,Bike,269,0.6,0.2,VA,South
1069,Post Falls city,Idaho,Small,Bike,58,0.5,0.6,ID,West
1070,Pottstown borough,Pennsylvania,Small,Bike,55,0.5,0.4,PA,Northeast
1071,Poughkeepsie city,New York,Small,Bike,107,0.8,0.5,NY,Northeast
1072,Poway city,California,Small,Bike,180,0.8,0.5,CA,West
1073,Prairie Village city,Kansas,Small,Bike,40,0.3,0.3,KS,North Central
1074,Prattville city,Alabama,Small,Bike,0,0.0,0.2,AL,South
1075,Prescott city,Arizona,Small,Bike,200,1.4,0.9,AZ,West
1076,Prescott Valley town,Arizona,Small,Bike,131,0.8,0.8,AZ,West
1077,Prichard city,Alabama,Small,Bike,10,0.1,0.2,AL,South
1078,Prior Lake city,Minnesota,Small,Bike,10,0.1,0.1,MN,North Central
1079,Pullman city,Washington,Small,Bike,321,2.4,1.0,WA,West
1080,Puyallup city,Washington,Small,Bike,94,0.5,0.4,WA,West
1081,Queen Creek town,Arizona,Small,Bike,0,0.0,0.3,AZ,West
1082,Quincy city,Illinois,Small,Bike,31,0.2,0.2,IL,North Central
1083,Quincy city,Massachusetts,Small,Bike,70,0.1,0.1,MA,Northeast
1084,Racine city,Wisconsin,Small,Bike,89,0.3,0.3,WI,North Central
1085,Radcliff city,Kentucky,Small,Bike,7,0.1,0.1,KY,South
1086,Rahway city,New Jersey,Small,Bike,13,0.1,0.1,NJ,Northeast
1087,Ramsey city,Minnesota,Small,Bike,17,0.1,0.2,MN,North Central
1088,Rancho Cordova city,California,Small,Bike,229,0.8,0.4,CA,West
1089,Rancho Palos Verdes city,California,Small,Bike,24,0.1,0.2,CA,West
1090,Rancho Santa Margarita city,California,Small,Bike,47,0.2,0.2,CA,West
1091,Rapid City city,South Dakota,Small,Bike,225,0.7,0.3,SD,North Central
1092,Raytown city,Missouri,Small,Bike,0,0.0,0.2,MO,North Central
1093,Reading city,Pennsylvania,Small,Bike,186,0.6,0.3,PA,Northeast
1094,Redding city,California,Small,Bike,349,1.0,0.4,CA,West
1095,Redlands city,California,Small,Bike,426,1.4,0.7,CA,West
1096,Redmond city,Oregon,Small,Bike,64,0.6,0.6,OR,West
1097,Redmond city,Washington,Small,Bike,359,1.2,0.5,WA,West
1098,Redondo Beach city,California,Small,Bike,482,1.3,0.5,CA,West
1099,Redwood City city,California,Small,Bike,642,1.7,0.6,CA,West
1100,Reedley city,California,Small,Bike,76,0.8,0.6,CA,West
1101,Renton city,Washington,Small,Bike,71,0.1,0.1,WA,West
1102,Revere city,Massachusetts,Small,Bike,27,0.1,0.1,MA,Northeast
1103,Rexburg city,Idaho,Small,Bike,486,4.5,1.6,ID,West
1104,Reynoldsburg city,Ohio,Small,Bike,18,0.1,0.2,OH,North Central
1105,Richfield city,Minnesota,Small,Bike,158,0.8,0.4,MN,North Central
1106,Richland city,Washington,Small,Bike,175,0.8,0.4,WA,West
1107,Richmond city,Indiana,Small,Bike,62,0.4,0.4,IN,North Central
1108,Richmond city,Kentucky,Small,Bike,278,1.9,1.4,KY,South
1109,Ridgecrest city,California,Small,Bike,195,1.6,0.8,CA,West
1110,Ridgeland city,Mississippi,Small,Bike,17,0.1,0.2,MS,South
1111,Ridgewood village,New Jersey,Small,Bike,11,0.1,0.2,NJ,Northeast
1112,Rio Rancho city,New Mexico,Small,Bike,153,0.4,0.2,NM,West
1113,Riverbank city,California,Small,Bike,8,0.1,0.2,CA,West
1114,Riverside city,Ohio,Small,Bike,0,0.0,0.3,OH,North Central
1115,Riverton city,Utah,Small,Bike,21,0.1,0.1,UT,West
1116,Riviera Beach city,Florida,Small,Bike,53,0.4,0.4,FL,South
1117,Roanoke city,Virginia,Small,Bike,72,0.2,0.1,VA,South
1118,Rochester city,New Hampshire,Small,Bike,1,0.0,0.1,NH,Northeast
1119,Rochester Hills city,Michigan,Small,Bike,122,0.3,0.2,MI,North Central
1120,Rock Hill city,South Carolina,Small,Bike,107,0.3,0.3,SC,South
1121,Rock Island city,Illinois,Small,Bike,93,0.5,0.4,IL,North Central
1122,Rock Springs city,Wyoming,Small,Bike,14,0.1,0.2,WY,West
1123,Rockledge city,Florida,Small,Bike,70,0.6,0.4,FL,South
1124,Rocklin city,California,Small,Bike,59,0.2,0.2,CA,West
1125,Rockville Centre village,New York,Small,Bike,7,0.1,0.1,NY,Northeast
1126,Rockville city,Maryland,Small,Bike,161,0.5,0.3,MD,South
1127,Rockwall city,Texas,Small,Bike,0,0.0,0.2,TX,South
1128,Rocky Mount city,North Carolina,Small,Bike,23,0.1,0.1,NC,South
1129,Rocky River city,Ohio,Small,Bike,16,0.2,0.3,OH,North Central
1130,Rogers city,Arkansas,Small,Bike,39,0.1,0.1,AR,South
1131,Rohnert Park city,California,Small,Bike,504,2.5,1.2,CA,West
1132,Rolling Meadows city,Illinois,Small,Bike,50,0.4,0.4,IL,North Central
1133,Rome city,Georgia,Small,Bike,154,1.1,0.7,GA,South
1134,Rome city,New York,Small,Bike,19,0.1,0.2,NY,Northeast
1135,Romeoville village,Illinois,Small,Bike,0,0.0,0.2,IL,North Central
1136,Romulus city,Michigan,Small,Bike,0,0.0,0.3,MI,North Central
1137,Roseburg city,Oregon,Small,Bike,280,3.4,1.8,OR,West
1138,Roselle borough,New Jersey,Small,Bike,18,0.2,0.2,NJ,Northeast
1139,Roselle village,Illinois,Small,Bike,14,0.1,0.2,IL,North Central
1140,Rosemead city,California,Small,Bike,193,0.8,0.5,CA,West
1141,Rosemount city,Minnesota,Small,Bike,16,0.1,0.2,MN,North Central
1142,Rosenberg city,Texas,Small,Bike,72,0.5,0.7,TX,South
1143,Roseville city,Michigan,Small,Bike,104,0.5,0.3,MI,North Central
1144,Roseville city,Minnesota,Small,Bike,301,1.8,0.7,MN,North Central
1145,Roswell city,Georgia,Small,Bike,31,0.1,0.1,GA,South
1146,Roswell city,New Mexico,Small,Bike,58,0.3,0.2,NM,West
1147,Round Lake Beach village,Illinois,Small,Bike,0,0.0,0.2,IL,North Central
1148,Rowlett city,Texas,Small,Bike,39,0.1,0.2,TX,South
1149,Roy city,Utah,Small,Bike,49,0.3,0.3,UT,West
1150,Royal Oak city,Michigan,Small,Bike,122,0.4,0.2,MI,North Central
1151,Royal Palm Beach village,Florida,Small,Bike,154,1.0,0.6,FL,South
1152,Russellville city,Arkansas,Small,Bike,70,0.5,0.5,AR,South
1153,Ruston city,Louisiana,Small,Bike,36,0.4,0.5,LA,South
1154,Saginaw city,Michigan,Small,Bike,98,0.6,0.6,MI,North Central
1155,Saginaw city,Texas,Small,Bike,13,0.1,0.2,TX,South
1156,Sahuarita town,Arizona,Small,Bike,9,0.1,0.1,AZ,West
1157,Salem city,Massachusetts,Small,Bike,155,0.7,0.4,MA,Northeast
1158,Salem city,Virginia,Small,Bike,34,0.3,0.3,VA,South
1159,Salina city,Kansas,Small,Bike,89,0.4,0.3,KS,North Central
1160,Salisbury city,Maryland,Small,Bike,97,0.8,0.6,MD,South
1161,Salisbury city,North Carolina,Small,Bike,83,0.7,0.5,NC,South
1162,Sammamish city,Washington,Small,Bike,69,0.3,0.2,WA,West
1163,San Angelo city,Texas,Small,Bike,122,0.3,0.2,TX,South
1164,San Benito city,Texas,Small,Bike,42,0.5,0.6,TX,South
1165,San Bruno city,California,Small,Bike,66,0.3,0.4,CA,West
1166,San Carlos city,California,Small,Bike,127,0.9,0.4,CA,West
1167,San Clemente city,California,Small,Bike,189,0.6,0.3,CA,West
1168,San Dimas city,California,Small,Bike,143,0.9,0.7,CA,West
1169,San Fernando city,California,Small,Bike,109,1.1,1.0,CA,West
1170,San Gabriel city,California,Small,Bike,158,0.9,0.4,CA,West
1171,San Jacinto city,California,Small,Bike,83,0.6,0.5,CA,West
1172,San Juan Capistrano city,California,Small,Bike,304,2.0,1.8,CA,West
1173,San Juan city,Texas,Small,Bike,19,0.2,0.3,TX,South
1174,San Leandro city,California,Small,Bike,201,0.5,0.2,CA,West
1175,San Luis city,Arizona,Small,Bike,24,0.4,0.6,AZ,West
1176,San Luis Obispo city,California,Small,Bike,1506,6.6,1.3,CA,West
1177,San Marcos city,California,Small,Bike,9,0.0,0.1,CA,West
1178,San Marcos city,Texas,Small,Bike,164,0.8,0.5,TX,South
1179,San Mateo city,California,Small,Bike,896,1.8,0.5,CA,West
1180,San Pablo city,California,Small,Bike,110,0.9,0.9,CA,West
1181,San Rafael city,California,Small,Bike,516,1.8,0.9,CA,West
1182,San Ramon city,California,Small,Bike,155,0.4,0.3,CA,West
1183,Sandusky city,Ohio,Small,Bike,106,1.0,0.6,OH,North Central
1184,Sandy city,Utah,Small,Bike,198,0.5,0.3,UT,West
1185,Sandy Springs city,Georgia,Small,Bike,10,0.0,0.1,GA,South
1186,Sanford city,Florida,Small,Bike,94,0.4,0.3,FL,South
1187,Sanford city,North Carolina,Small,Bike,22,0.2,0.2,NC,South
1188,Sanger city,California,Small,Bike,58,0.6,0.6,CA,West
1189,Santa Barbara city,California,Small,Bike,2650,5.8,1.1,CA,West
1190,Santa Cruz city,California,Small,Bike,2697,9.2,1.7,CA,West
1191,Santa Fe city,New Mexico,Small,Bike,516,1.6,0.5,NM,West
1192,Santa Monica city,California,Small,Bike,1514,3.1,0.6,CA,West
1193,Santa Paula city,California,Small,Bike,100,0.8,0.9,CA,West
1194,Santee city,California,Small,Bike,24,0.1,0.1,CA,West
1195,Sapulpa city,Oklahoma,Small,Bike,0,0.0,0.3,OK,South
1196,Sarasota city,Florida,Small,Bike,465,2.1,0.8,FL,South
1197,Saratoga city,California,Small,Bike,67,0.5,0.4,CA,West
1198,Saratoga Springs city,New York,Small,Bike,82,0.6,0.4,NY,Northeast
1199,Saratoga Springs city,Utah,Small,Bike,0,0.0,0.5,UT,West
1200,Savage city,Minnesota,Small,Bike,27,0.2,0.2,MN,North Central
1201,Sayreville borough,New Jersey,Small,Bike,14,0.1,0.1,NJ,Northeast
1202,Schaumburg village,Illinois,Small,Bike,90,0.2,0.2,IL,North Central
1203,Schenectady city,New York,Small,Bike,117,0.4,0.2,NY,Northeast
1204,Schererville town,Indiana,Small,Bike,65,0.4,0.6,IN,North Central
1205,Schertz city,Texas,Small,Bike,0,0.0,0.2,TX,South
1206,Scranton city,Pennsylvania,Small,Bike,75,0.2,0.1,PA,Northeast
1207,Seal Beach city,California,Small,Bike,82,0.9,0.4,CA,West
1208,Searcy city,Arkansas,Small,Bike,26,0.3,0.3,AR,South
1209,Seaside city,California,Small,Bike,218,1.4,0.7,CA,West
1210,SeaTac city,Washington,Small,Bike,48,0.4,0.4,WA,West
1211,Sebastian city,Florida,Small,Bike,15,0.2,0.3,FL,South
1212,Sedalia city,Missouri,Small,Bike,12,0.1,0.2,MO,North Central
1213,Seguin city,Texas,Small,Bike,71,0.7,0.5,TX,South
1214,Selma city,Alabama,Small,Bike,0,0.0,0.6,AL,South
1215,Selma city,California,Small,Bike,40,0.4,0.5,CA,West
1216,Shaker Heights city,Ohio,Small,Bike,69,0.5,0.3,OH,North Central
1217,Shakopee city,Minnesota,Small,Bike,32,0.2,0.2,MN,North Central
1218,Shawnee city,Kansas,Small,Bike,54,0.2,0.1,KS,North Central
1219,Shawnee city,Oklahoma,Small,Bike,39,0.3,0.2,OK,South
1220,Sheboygan city,Wisconsin,Small,Bike,262,1.1,0.5,WI,North Central
1221,Shelby city,North Carolina,Small,Bike,20,0.3,0.4,NC,South
1222,Shelbyville city,Tennessee,Small,Bike,0,0.0,0.5,TN,South
1223,Shelton city,Connecticut,Small,Bike,0,0.0,0.2,CT,Northeast
1224,Sherman city,Texas,Small,Bike,35,0.2,0.2,TX,South
1225,Sherwood city,Arkansas,Small,Bike,0,0.0,0.2,AR,South
1226,Shoreline city,Washington,Small,Bike,201,0.8,0.3,WA,West
1227,Shoreview city,Minnesota,Small,Bike,44,0.3,0.3,MN,North Central
1228,Sidney city,Ohio,Small,Bike,0,0.0,0.3,OH,North Central
1229,Sierra Vista city,Arizona,Small,Bike,101,0.5,0.4,AZ,West
1230,Sioux City city,Iowa,Small,Bike,35,0.1,0.1,IA,North Central
1231,Skokie village,Illinois,Small,Bike,151,0.5,0.4,IL,North Central
1232,Slidell city,Louisiana,Small,Bike,48,0.4,0.3,LA,South
1233,Smyrna city,Georgia,Small,Bike,0,0.0,0.1,GA,South
1234,Smyrna town,Tennessee,Small,Bike,85,0.4,0.6,TN,South
1235,Socorro city,Texas,Small,Bike,32,0.3,0.3,TX,South
1236,Soledad city,California,Small,Bike,0,0.0,0.6,CA,West
1237,Solon city,Ohio,Small,Bike,0,0.0,0.3,OH,North Central
1238,Somerville city,Massachusetts,Small,Bike,2048,4.5,0.7,MA,Northeast
1239,South El Monte city,California,Small,Bike,57,0.7,0.5,CA,West
1240,South Elgin village,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
1241,South Euclid city,Ohio,Small,Bike,67,0.6,0.4,OH,North Central
1242,South Gate city,California,Small,Bike,171,0.5,0.2,CA,West
1243,South Holland village,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
1244,South Jordan city,Utah,Small,Bike,59,0.3,0.2,UT,West
