,city,state,city_size,mode,n,percent,moe,state_abb,state_region
226,Chicopee city,Massachusetts,Small,Bike,129,0.5,0.6,MA,Northeast
227,Chillicothe city,Ohio,Small,Bike,14,0.2,0.2,OH,North Central
228,Chino city,California,Small,Bike,97,0.3,0.2,CA,West
229,Chino Hills city,California,Small,Bike,206,0.6,0.7,CA,West
230,Christiansburg town,Virginia,Small,Bike,0,0.0,0.3,VA,South
231,Cicero town,Illinois,Small,Bike,312,0.9,0.5,IL,North Central
232,Citrus Heights city,California,Small,Bike,137,0.4,0.2,CA,West
233,Claremont city,California,Small,Bike,296,2.0,0.7,CA,West
234,Clarksville town,Indiana,Small,Bike,27,0.3,0.3,IN,North Central
235,Clearfield city,Utah,Small,Bike,39,0.3,0.3,UT,West
236,Cleburne city,Texas,Small,Bike,0,0.0,0.3,TX,South
237,Clermont city,Florida,Small,Bike,18,0.2,0.2,FL,South
238,Cleveland city,Tennessee,Small,Bike,51,0.3,0.3,TN,South
239,Cleveland Heights city,Ohio,Small,Bike,197,0.9,0.3,OH,North Central
240,Cliffside Park borough,New Jersey,Small,Bike,39,0.3,0.3,NJ,Northeast
241,Clifton city,New Jersey,Small,Bike,59,0.1,0.2,NJ,Northeast
242,Clinton city,Iowa,Small,Bike,58,0.5,0.4,IA,North Central
243,Clinton city,Mississippi,Small,Bike,0,0.0,0.3,MS,South
244,Clinton city,Utah,Small,Bike,13,0.1,0.2,UT,West
245,Clovis city,California,Small,Bike,156,0.4,0.2,CA,West
246,Clovis city,New Mexico,Small,Bike,58,0.4,0.3,NM,West
247,Coachella city,California,Small,Bike,15,0.1,0.2,CA,West
248,Coconut Creek city,Florida,Small,Bike,110,0.4,0.3,FL,South
249,Coeur d'Alene city,Idaho,Small,Bike,191,0.9,0.5,ID,West
250,College Park city,Maryland,Small,Bike,433,3.3,1.2,MD,South
251,College Station city,Texas,Small,Bike,1126,2.6,0.5,TX,South
252,Colleyville city,Texas,Small,Bike,25,0.2,0.3,TX,South
253,Collierville town,Tennessee,Small,Bike,5,0.0,0.1,TN,South
254,Collinsville city,Illinois,Small,Bike,31,0.3,0.3,IL,North Central
255,Colton city,California,Small,Bike,133,0.6,0.6,CA,West
256,Columbia city,Tennessee,Small,Bike,54,0.4,0.5,TN,South
257,Columbus city,Indiana,Small,Bike,99,0.5,0.2,IN,North Central
258,Columbus city,Mississippi,Small,Bike,5,0.1,0.1,MS,South
259,Columbus city,Nebraska,Small,Bike,52,0.5,0.5,NE,North Central
260,Commerce City city,Colorado,Small,Bike,10,0.0,0.1,CO,West
261,Compton city,California,Small,Bike,154,0.5,0.2,CA,West
262,Concord city,New Hampshire,Small,Bike,93,0.4,0.3,NH,Northeast
263,Concord city,North Carolina,Small,Bike,34,0.1,0.1,NC,South
264,Conroe city,Texas,Small,Bike,126,0.5,0.5,TX,South
265,Conway city,Arkansas,Small,Bike,104,0.4,0.2,AR,South
266,Cookeville city,Tennessee,Small,Bike,34,0.3,0.3,TN,South
267,Coon Rapids city,Minnesota,Small,Bike,101,0.3,0.2,MN,North Central
268,Cooper City city,Florida,Small,Bike,16,0.1,0.1,FL,South
269,Coppell city,Texas,Small,Bike,9,0.0,0.1,TX,South
270,Copperas Cove city,Texas,Small,Bike,25,0.2,0.2,TX,South
271,Coral Gables city,Florida,Small,Bike,144,0.7,0.5,FL,South
272,Corcoran city,California,Small,Bike,52,1.3,1.1,CA,West
273,Corinth city,Texas,Small,Bike,23,0.2,0.4,TX,South
274,Cornelius town,North Carolina,Small,Bike,7,0.1,0.1,NC,South
275,Coronado city,California,Small,Bike,527,4.8,1.3,CA,West
276,Corsicana city,Texas,Small,Bike,31,0.3,0.4,TX,South
277,Corvallis city,Oregon,Small,Bike,2804,11.2,1.5,OR,West
278,Cottage Grove city,Minnesota,Small,Bike,64,0.4,0.3,MN,North Central
279,Cottonwood Heights city,Utah,Small,Bike,49,0.3,0.2,UT,West
280,Council Bluffs city,Iowa,Small,Bike,132,0.4,0.2,IA,North Central
281,Covina city,California,Small,Bike,134,0.6,0.4,CA,West
282,Covington city,Kentucky,Small,Bike,50,0.3,0.3,KY,South
283,Cranston city,Rhode Island,Small,Bike,92,0.3,0.2,RI,Northeast
284,Crest Hill city,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
285,Crestview city,Florida,Small,Bike,11,0.1,0.2,FL,South
286,Crown Point city,Indiana,Small,Bike,0,0.0,0.2,IN,North Central
287,Crystal city,Minnesota,Small,Bike,9,0.1,0.1,MN,North Central
288,Crystal Lake city,Illinois,Small,Bike,0,0.0,0.1,IL,North Central
289,Cudahy city,California,Small,Bike,74,0.8,0.8,CA,West
290,Culver City city,California,Small,Bike,219,1.1,0.5,CA,West
291,Cumberland city,Maryland,Small,Bike,0,0.0,0.4,MD,South
292,Cupertino city,California,Small,Bike,221,0.9,0.5,CA,West
293,Cutler Bay town,Florida,Small,Bike,28,0.2,0.2,FL,South
294,Cuyahoga Falls city,Ohio,Small,Bike,56,0.2,0.3,OH,North Central
295,Cypress city,California,Small,Bike,168,0.7,0.4,CA,West
296,Dalton city,Georgia,Small,Bike,29,0.2,0.3,GA,South
297,Dana Point city,California,Small,Bike,75,0.4,0.3,CA,West
298,Danbury city,Connecticut,Small,Bike,51,0.1,0.1,CT,Northeast
299,Dania Beach city,Florida,Small,Bike,102,0.7,0.5,FL,South
300,Danville city,Illinois,Small,Bike,28,0.2,0.2,IL,North Central
301,Danville city,Virginia,Small,Bike,33,0.2,0.1,VA,South
302,Danville town,California,Small,Bike,29,0.2,0.2,CA,West
