"LEAID	LEA_NAME	ST	d_Locale_Txt	SCHOOL_YEAR	AIAN	Asian	Black	Hispanic	White	Total	diverse	usa_state_latitude	usa_state_longitude	usa_state"
"100360	bibb county	AL	town-distant	2016-2017	0.121543604	0.212701307	22.12093589	2.795502887	73.86812519	3291	Diverse	32.318231	-86.902298	Alabama"
"100390	birmingham city	AL	city-midsize	1994-1995	0.031099734	0.337312504	91.51694936	0.133968087	7.980670319	41801	Extremely undiverse	32.318231	-86.902298	Alabama"
"100390	birmingham city	AL	city-midsize	2016-2017	0.172726488	0.233180758	91.07435875	6.326107609	1.213403575	23158	Extremely undiverse	32.318231	-86.902298	Alabama"
"100420	blount county	AL	rural-distant	1994-1995	0.144253887	0.192338516	0.400705241	1.81118769	97.45151467	6239	Extremely undiverse	32.318231	-86.902298	Alabama"
"100420	blount county	AL	rural-distant	2016-2017	0.41062492	0.179648402	1.308866932	14.8209932	82.75375337	7793	Undiverse	32.318231	-86.902298	Alabama"
"100450	brewton city	AL	town-distant	1994-1995	0.270635995	0.744248985	41.27198917	0.135317997	57.57780785	1478	Diverse	32.318231	-86.902298	Alabama"
"100450	brewton city	AL	town-distant	2016-2017	0.359389039	0.718778077	34.95058401	1.976639712	61.18598383	1113	Diverse	32.318231	-86.902298	Alabama"
"100480	bullock county	AL	town-distant	1994-1995	0.0	0.0	99.54361055	0.0	0.456389452	1972	Extremely undiverse	32.318231	-86.902298	Alabama"
"100480	bullock county	AL	town-distant	2016-2017	0.0	0.203252033	84.14634146	14.43089431	1.219512195	1476	Undiverse	32.318231	-86.902298	Alabama"
"100510	butler county	AL	town-distant	1994-1995	0.0	0.186046512	59.13953488	0.023255814	40.65116279	4300	Diverse	32.318231	-86.902298	Alabama"
"100510	butler county	AL	town-distant	2016-2017	0.223570744	0.670712233	62.88725647	1.085915043	33.95081444	3131	Diverse	32.318231	-86.902298	Alabama"
"100540	calhoun county	AL	rural-fringe	1994-1995	0.077602095	0.950625667	10.57328548	0.824522262	87.5739645	10309	Undiverse	32.318231	-86.902298	Alabama"
"100540	calhoun county	AL	rural-fringe	2016-2017	0.281278128	0.765076508	14.27767777	4.162916292	79.77047705	8888	Undiverse	32.318231	-86.902298	Alabama"
"100600	chambers county	AL	town-distant	1994-1995	0.024166264	0.0	56.57322378	0.0	43.40260996	4138	Diverse	32.318231	-86.902298	Alabama"
"100600	chambers county	AL	town-distant	2016-2017	0.191728294	0.547795125	47.6855656	2.300739523	48.31552999	3651	Diverse	32.318231	-86.902298	Alabama"
"100630	cherokee county	AL	rural-distant	1994-1995	0.0	0.13462574	8.158319871	0.242326333	91.46472806	3714	Extremely undiverse	32.318231	-86.902298	Alabama"
"100630	cherokee county	AL	rural-distant	2016-2017	6.41631435	0.472519274	5.073364835	1.268341209	85.94876896	4021	Undiverse	32.318231	-86.902298	Alabama"
"100660	chilton county	AL	rural-distant	1994-1995	0.016056519	0.080282595	16.05651895	0.433526012	83.41361593	6228	Undiverse	32.318231	-86.902298	Alabama"
"100660	chilton county	AL	rural-distant	2016-2017	0.167612171	0.42547705	11.74574523	14.4662197	71.13202682	7756	Diverse	32.318231	-86.902298	Alabama"
"100690	choctaw county	AL	rural-remote	1994-1995	0.0	0.034141345	64.08330488	0.034141345	35.84841243	2929	Diverse	32.318231	-86.902298	Alabama"
"100690	choctaw county	AL	rural-remote	2016-2017	0.14114326	0.0	66.90190543	0.423429781	32.03952011	1417	Diverse	32.318231	-86.902298	Alabama"
"100720	clarke county	AL	town-remote	1994-1995	0.09854644	0.02463661	65.80438532	0.04927322	34.02315841	4059	Diverse	32.318231	-86.902298	Alabama"
"100720	clarke county	AL	town-remote	2016-2017	0.297287254	0.520252694	65.1802304	1.040505388	32.14418432	2691	Diverse	32.318231	-86.902298	Alabama"
"100750	clay county	AL	rural-distant	1994-1995	0.076452599	0.076452599	23.54740061	0.152905199	76.14678899	2616	Undiverse	32.318231	-86.902298	Alabama"
"100750	clay county	AL	rural-distant	2016-2017	0.051652893	0.154958678	16.78719008	5.423553719	74.3285124	1936	Diverse	32.318231	-86.902298	Alabama"
"100780	cleburne county	AL	rural-distant	1994-1995	0.0	0.0	6.58217498	0.122649223	93.2951758	2446	Extremely undiverse	32.318231	-86.902298	Alabama"
"100780	cleburne county	AL	rural-distant	2016-2017	0.229533282	0.114766641	5.317521041	3.213465953	89.86228003	2614	Undiverse	32.318231	-86.902298	Alabama"
"100810	coffee county	AL	rural-distant	1994-1995	0.261369577	0.156821746	10.76842656	0.209095661	88.60428646	1913	Undiverse	32.318231	-86.902298	Alabama"
"100810	coffee county	AL	rural-distant	2016-2017	2.048417132	0.512104283	4.283054004	2.60707635	88.78026071	2148	Undiverse	32.318231	-86.902298	Alabama"
"100840	colbert county	AL	rural-fringe	1994-1995	0.149835181	0.059934073	23.10458496	0.599340725	76.08630506	3337	Undiverse	32.318231	-86.902298	Alabama"
"100840	colbert county	AL	rural-fringe	2016-2017	0.305460099	0.458190149	12.94387171	3.474608629	80.83237877	2619	Undiverse	32.318231	-86.902298	Alabama"
"100870	conecuh county	AL	rural-fringe	1994-1995	0.0	0.041981528	70.23509656	0.125944584	29.59697733	2382	Diverse	32.318231	-86.902298	Alabama"
"100870	conecuh county	AL	rural-fringe	2016-2017	0.753498385	0.322927879	69.96770721	1.82992465	26.58772874	1858	Diverse	32.318231	-86.902298	Alabama"
"100900	coosa county	AL	rural-remote	1994-1995	0.0	0.053908356	46.0916442	0.053908356	53.80053908	1855	Diverse	32.318231	-86.902298	Alabama"
"100900	coosa county	AL	rural-remote	2016-2017	0.102040816	0.102040816	43.26530612	4.387755102	50.0	980	Diverse	32.318231	-86.902298	Alabama"
"100930	covington county	AL	rural-distant	1994-1995	0.093516209	0.218204489	11.00374065	0.03117207	88.65336658	3208	Undiverse	32.318231	-86.902298	Alabama"
"100930	covington county	AL	rural-distant	2016-2017	0.320410125	0.801025312	6.119833387	1.217558475	90.22749119	3121	Extremely undiverse	32.318231	-86.902298	Alabama"
"100960	crenshaw county	AL	rural-remote	1994-1995	0.041981528	0.125944584	38.41309824	0.125944584	61.29303107	2382	Diverse	32.318231	-86.902298	Alabama"
"100960	crenshaw county	AL	rural-remote	2016-2017	0.17444396	0.56694287	30.70213694	2.136938509	64.98037505	2293	Diverse	32.318231	-86.902298	Alabama"
"100990	cullman city	AL	town-distant	1994-1995	0.0	0.367917586	0.183958793	0.036791759	99.41133186	2718	Extremely undiverse	32.318231	-86.902298	Alabama"
"100990	cullman city	AL	town-distant	2016-2017	0.355526826	2.003878474	0.775694893	7.950872657	86.61926309	3094	Undiverse	32.318231	-86.902298	Alabama"
"101020	cullman county	AL	rural-distant	1994-1995	0.054294712	0.130307308	1.324790965	0.499511348	97.99109567	9209	Extremely undiverse	32.318231	-86.902298	Alabama"
"101020	cullman county	AL	rural-distant	2016-2017	0.242692835	0.242692835	0.780837818	8.008863564	85.81829693	9477	Undiverse	32.318231	-86.902298	Alabama"
"101050	dale county	AL	rural-distant	1994-1995	0.036376864	0.291014915	18.51582394	0.109130593	81.04765369	2749	Undiverse	32.318231	-86.902298	Alabama"
"101050	dale county	AL	rural-distant	2016-2017	0.38277512	0.446570973	16.87400319	3.444976077	76.90590112	3135	Undiverse	32.318231	-86.902298	Alabama"
"101080	daleville city	AL	town-distant	1994-1995	0.452744765	3.791737408	31.74872666	5.376344086	58.63044709	1767	Diverse	32.318231	-86.902298	Alabama"
"101080	daleville city	AL	town-distant	2016-2017	0.796812749	1.394422311	30.97609562	14.34262948	48.00796813	1004	Diverse	32.318231	-86.902298	Alabama"
"101110	dallas county	AL	rural-distant	1994-1995	0.0	0.019565643	73.60594796	0.156525142	26.21796126	5111	Diverse	32.318231	-86.902298	Alabama"
"101110	dallas county	AL	rural-distant	2016-2017	0.0	0.190779014	76.37519873	0.413354531	22.54372019	3145	Undiverse	32.318231	-86.902298	Alabama"
"101140	dekalb county	AL	rural-distant	1994-1995	16.98633917	0.2069822	0.883124051	0.979715744	80.94383883	7247	Undiverse	32.318231	-86.902298	Alabama"
"101140	dekalb county	AL	rural-distant	2016-2017	13.07769035	0.14407625	0.942037017	29.83486645	55.53585282	9023	Diverse	32.318231	-86.902298	Alabama"
"101170	decatur city	AL	city-small	1994-1995	0.197858473	0.884543762	26.02420857	1.513035382	71.38035382	8592	Diverse	32.318231	-86.902298	Alabama"
"101170	decatur city	AL	city-small	2016-2017	0.332950631	1.262916188	30.1836969	25.86681975	38.62227325	8710	Diverse	32.318231	-86.902298	Alabama"
"101200	demopolis city	AL	town-remote	1994-1995	0.0	0.091827365	50.32139578	0.0	49.58677686	2178	Diverse	32.318231	-86.902298	Alabama"
"101200	demopolis city	AL	town-remote	2016-2017	0.174216028	1.219512195	50.21777003	3.963414634	43.68466899	2296	Diverse	32.318231	-86.902298	Alabama"
"101230	dothan city	AL	city-small	1994-1995	0.145213152	1.223939425	42.54745358	0.321543408	55.76185043	9641	Diverse	32.318231	-86.902298	Alabama"
"101230	dothan city	AL	city-small	2016-2017	0.195376099	1.617279931	55.86671008	5.38369695	35.50417888	9213	Diverse	32.318231	-86.902298	Alabama"
"101260	elba city	AL	rural-remote	1994-1995	0.444839858	0.177935943	34.34163701	0.088967972	64.94661922	1124	Diverse	32.318231	-86.902298	Alabama"
"101260	elba city	AL	rural-remote	2016-2017	0.815660685	0.326264274	48.4502447	3.099510604	43.71941272	613	Diverse	32.318231	-86.902298	Alabama"
"101290	elmore county	AL	suburban-large	1994-1995	0.069388227	0.300682318	27.46617324	0.312247022	71.85150919	8647	Diverse	32.318231	-86.902298	Alabama"
"101290	elmore county	AL	suburban-large	2016-2017	0.332836997	0.867127967	26.9860734	4.037838311	65.02583866	11417	Diverse	32.318231	-86.902298	Alabama"
"101320	enterprise city	AL	town-distant	1994-1995	0.355538922	1.665419162	25.28068862	2.694610778	70.00374251	5344	Diverse	32.318231	-86.902298	Alabama"
"101320	enterprise city	AL	town-distant	2016-2017	0.794100964	2.283040272	21.93703914	12.30856495	58.62166761	7052	Diverse	32.318231	-86.902298	Alabama"
"101350	escambia county	AL	town-distant	1994-1995	4.572004028	0.221550856	36.4551863	0.302114804	58.44914401	4965	Diverse	32.318231	-86.902298	Alabama"
"101350	escambia county	AL	town-distant	2016-2017	4.695259594	0.180586907	41.28668172	1.941309255	49.97742664	4430	Diverse	32.318231	-86.902298	Alabama"
"101380	etowah county	AL	suburban-small	1994-1995	0.046146747	0.126903553	1.48823258	0.288417167	98.05029995	8668	Extremely undiverse	32.318231	-86.902298	Alabama"
"101380	etowah county	AL	suburban-small	2016-2017	0.308078503	1.141031492	3.320401643	3.468735737	91.15700593	8764	Extremely undiverse	32.318231	-86.902298	Alabama"
"101410	eufaula city	AL	rural-fringe	1994-1995	0.269179004	0.100942127	47.98115747	0.336473755	51.31224764	2972	Diverse	32.318231	-86.902298	Alabama"
"101410	eufaula city	AL	rural-fringe	2016-2017	0.202582932	1.088883262	45.88503419	6.887819701	45.37857685	3949	Diverse	32.318231	-86.902298	Alabama"
"101440	fairfield city	AL	suburban-large	1994-1995	0.0	0.0	98.83015598	0.346620451	0.82322357	2308	Extremely undiverse	32.318231	-86.902298	Alabama"
"101440	fairfield city	AL	suburban-large	2016-2017	0.114942529	0.057471264	97.4137931	1.83908046	0.402298851	1740	Extremely undiverse	32.318231	-86.902298	Alabama"
"101470	fayette county	AL	rural-distant	1994-1995	0.069468565	0.0	17.78395276	0.0	82.14657867	2879	Undiverse	32.318231	-86.902298	Alabama"
"101470	fayette county	AL	rural-distant	2016-2017	0.0	0.463157895	14.14736842	1.473684211	81.55789474	2375	Undiverse	32.318231	-86.902298	Alabama"
"101530	florence city	AL	city-small	1994-1995	0.080677693	0.403388463	33.25937878	0.342880194	65.91367487	4958	Diverse	32.318231	-86.902298	Alabama"
"101530	florence city	AL	city-small	2016-2017	0.089485459	0.805369128	32.81879195	9.530201342	48.61297539	4470	Diverse	32.318231	-86.902298	Alabama"
"101560	fort payne city	AL	town-distant	1994-1995	4.882664648	0.719152157	7.532172597	0.946252839	85.91975776	2642	Undiverse	32.318231	-86.902298	Alabama"
"101560	fort payne city	AL	town-distant	2016-2017	1.14871158	0.931387768	3.539273518	37.96957467	54.23781434	3221	Diverse	32.318231	-86.902298	Alabama"
"101590	franklin county	AL	rural-distant	1994-1995	0.061842919	0.061842919	0.556586271	0.61842919	98.7012987	3234	Extremely undiverse	32.318231	-86.902298	Alabama"
"101590	franklin county	AL	rural-distant	2016-2017	0.471305794	0.277238703	1.303021902	13.66786803	83.36567785	3607	Undiverse	32.318231	-86.902298	Alabama"
"101620	gadsden city	AL	city-small	1994-1995	0.050994391	0.390956995	49.39656638	1.036885943	49.12459629	5883	Diverse	32.318231	-86.902298	Alabama"
"101620	gadsden city	AL	city-small	2016-2017	0.290360046	0.909794812	46.98025552	12.95005807	37.53387534	5166	Diverse	32.318231	-86.902298	Alabama"
"101640	geneva city	AL	rural-fringe	1994-1995	0.0	0.0	16.21067031	0.47879617	83.31053352	1462	Undiverse	32.318231	-86.902298	Alabama"
"101640	geneva city	AL	rural-fringe	2016-2017	0.157604413	0.315208826	13.55397951	2.206461781	82.11189913	1269	Undiverse	32.318231	-86.902298	Alabama"
"101660	geneva county	AL	rural-distant	1994-1995	0.034965035	0.034965035	18.4965035	0.979020979	80.45454545	2860	Undiverse	32.318231	-86.902298	Alabama"
"101660	geneva county	AL	rural-distant	2016-2017	0.324324324	0.432432432	12.54054054	8.684684685	75.06306306	2775	Undiverse	32.318231	-86.902298	Alabama"
"101680	greene county	AL	rural-distant	1994-1995	0.08912656	0.0	99.73262032	0.0	0.178253119	2244	Extremely undiverse	32.318231	-86.902298	Alabama"
"101680	greene county	AL	rural-distant	2016-2017	0.0	1.213171577	97.57365685	0.606585789	0.433275563	1154	Extremely undiverse	32.318231	-86.902298	Alabama"
"101690	guntersville city	AL	town-distant	1994-1995	0.0	0.554187192	11.57635468	0.615763547	87.25369458	1624	Undiverse	32.318231	-86.902298	Alabama"
"101690	guntersville city	AL	town-distant	2016-2017	0.355329949	1.675126904	8.730964467	7.614213198	76.54822335	1970	Undiverse	32.318231	-86.902298	Alabama"
"101710	hale county	AL	town-fringe	1994-1995	0.0	0.0	75.04984335	0.199373398	24.75078325	3511	Undiverse	32.318231	-86.902298	Alabama"
"101710	hale county	AL	town-fringe	2016-2017	0.0	0.038299502	68.09651475	1.608579088	29.72041363	2611	Diverse	32.318231	-86.902298	Alabama"
"101720	haleyville city	AL	rural-fringe	1994-1995	0.0	0.224340998	0.616937745	0.05608525	99.10263601	1783	Extremely undiverse	32.318231	-86.902298	Alabama"
"101720	haleyville city	AL	rural-fringe	2016-2017	0.289687138	1.100811124	1.564310545	8.458864426	86.5585168	1726	Undiverse	32.318231	-86.902298	Alabama"
"101730	hartselle city	AL	suburban-small	1994-1995	0.205761317	0.205761317	5.384087791	0.137174211	94.06721536	2916	Extremely undiverse	32.318231	-86.902298	Alabama"
"101730	hartselle city	AL	suburban-small	2016-2017	0.654205607	1.090342679	4.143302181	3.302180685	88.5046729	3210	Undiverse	32.318231	-86.902298	Alabama"
"101740	henry county	AL	town-fringe	1994-1995	0.035423309	0.0	50.51363797	0.460503011	48.99043571	2823	Diverse	32.318231	-86.902298	Alabama"
"101740	henry county	AL	town-fringe	2016-2017	0.080353556	0.401767778	31.21735637	3.334672559	62.27400562	2489	Diverse	32.318231	-86.902298	Alabama"
"101760	homewood city	AL	suburban-large	1994-1995	0.276497696	2.795698925	17.14285714	0.768049155	79.01689708	3255	Undiverse	32.318231	-86.902298	Alabama"
"101760	homewood city	AL	suburban-large	2016-2017	0.095923261	2.446043165	18.87290168	12.54196643	63.64508393	4170	Diverse	32.318231	-86.902298	Alabama"
"101770	houston county	AL	rural-fringe	1994-1995	0.104275287	0.086896072	20.38581856	0.451859576	78.9711505	5754	Undiverse	32.318231	-86.902298	Alabama"
"101770	houston county	AL	rural-fringe	2016-2017	0.205728755	0.316505776	15.8411141	4.969140687	76.91090362	6319	Undiverse	32.318231	-86.902298	Alabama"
"101800	huntsville city	AL	city-midsize	1994-1995	0.41889594	3.259922857	37.1531666	1.173738128	57.99427647	24111	Diverse	32.318231	-86.902298	Alabama"
"101800	huntsville city	AL	city-midsize	2016-2017	0.478648131	2.068592358	40.1981187	12.19928411	39.24914676	24026	Diverse	32.318231	-86.902298	Alabama"
"101830	jackson county	AL	rural-distant	1994-1995	17.06742103	0.188590288	3.646078894	0.141442716	78.95646708	6363	Undiverse	32.318231	-86.902298	Alabama"
"101830	jackson county	AL	rural-distant	2016-2017	12.76051188	0.29250457	3.053016453	4.552102377	78.09872029	5470	Undiverse	32.318231	-86.902298	Alabama"
"101860	jacksonville city	AL	city-small	1994-1995	0.485731633	1.335761991	16.93989071	2.489374621	78.74924104	1647	Undiverse	32.318231	-86.902298	Alabama"
"101860	jacksonville city	AL	city-small	2016-2017	0.251572327	1.446540881	31.69811321	2.893081761	63.27044025	1590	Diverse	32.318231	-86.902298	Alabama"
"101890	jasper city	AL	town-distant	1994-1995	0.038895371	0.505639829	21.43134967	0.233372229	77.7907429	2571	Undiverse	32.318231	-86.902298	Alabama"
"101890	jasper city	AL	town-distant	2016-2017	0.110375276	1.103752759	16.70345843	9.676232524	69.86754967	2718	Diverse	32.318231	-86.902298	Alabama"
"101920	jefferson county	AL	suburban-large	1994-1995	0.027261462	0.354399009	15.0755886	0.210656753	84.33209418	40350	Undiverse	32.318231	-86.902298	Alabama"
